R,G,bestF,avgF
1,0,875.0,840.282
1,1,875.0,843.908
1,2,877.0,847.926
1,3,879.0,851.208
1,4,877.0,854.484
1,5,879.0,856.936
1,6,895.0,859.042
1,7,884.0,862.51
1,8,891.0,864.23
1,9,892.0,866.578
1,10,893.0,869.208
1,11,899.0,870.802
1,12,905.0,872.936
1,13,897.0,874.954
1,14,898.0,876.424
1,15,901.0,878.564
1,16,898.0,879.846
1,17,906.0,881.416
1,18,903.0,882.764
1,19,908.0,884.344
1,20,907.0,885.924
1,21,909.0,887.844
1,22,910.0,889.52
1,23,913.0,891.08
1,24,911.0,892.698
1,25,912.0,894.018
1,26,921.0,895.644
1,27,915.0,896.856
1,28,917.0,897.596
1,29,918.0,898.376
1,30,917.0,899.744
1,31,919.0,901.354
1,32,918.0,901.33
1,33,919.0,902.588
1,34,922.0,903.07
1,35,923.0,904.732
1,36,926.0,906.182
1,37,926.0,907.104
1,38,927.0,907.714
1,39,926.0,908.82
1,40,931.0,909.6
1,41,926.0,910.22
1,42,926.0,910.162
1,43,927.0,911.018
1,44,930.0,912.15
1,45,928.0,912.604
1,46,930.0,913.396
1,47,929.0,914.276
1,48,930.0,915.254
1,49,931.0,915.79
1,50,932.0,916.694
1,51,933.0,917.208
1,52,932.0,918.052
1,53,936.0,918.608
1,54,935.0,918.664
1,55,935.0,919.314
1,56,935.0,919.558
1,57,935.0,919.916
1,58,934.0,920.158
1,59,936.0,920.632
1,60,937.0,920.942
1,61,939.0,921.494
1,62,937.0,922.29
1,63,937.0,922.28
1,64,938.0,922.638
1,65,939.0,922.646
1,66,939.0,923.02
1,67,937.0,923.548
1,68,939.0,923.734
1,69,938.0,924.632
1,70,937.0,924.63
1,71,937.0,924.538
1,72,940.0,924.854
1,73,939.0,925.24
1,74,943.0,925.87
1,75,942.0,926.24
1,76,942.0,927.164
1,77,939.0,927.222
1,78,946.0,927.412
1,79,942.0,927.65
1,80,940.0,927.836
1,81,943.0,928.098
1,82,944.0,928.48
1,83,940.0,928.716
1,84,944.0,928.886
1,85,942.0,929.416
1,86,943.0,929.196
1,87,946.0,929.606
1,88,944.0,930.188
1,89,948.0,930.204
1,90,944.0,930.228
1,91,945.0,930.248
1,92,946.0,930.728
1,93,944.0,931.234
1,94,944.0,931.298
1,95,944.0,931.06
1,96,944.0,930.768
1,97,944.0,930.256
1,98,944.0,930.652
1,99,945.0,931.03
1,100,945.0,931.152
1,101,946.0,931.27
1,102,945.0,930.972
1,103,948.0,931.18
1,104,947.0,931.61
1,105,945.0,932.182
1,106,945.0,932.734
1,107,946.0,932.734
1,108,948.0,932.732
1,109,950.0,932.752
1,110,946.0,933.184
1,111,947.0,933.442
1,112,946.0,933.412
1,113,947.0,933.248
1,114,945.0,933.28
1,115,947.0,933.562
1,116,948.0,933.578
1,117,947.0,933.624
1,118,948.0,933.77
1,119,947.0,933.978
1,120,950.0,934.38
1,121,947.0,934.97
1,122,947.0,935.332
1,123,948.0,935.108
1,124,947.0,935.272
1,125,949.0,935.02
1,126,948.0,935.164
1,127,947.0,934.714
1,128,948.0,935.166
1,129,948.0,934.878
1,130,948.0,934.818
1,131,948.0,934.716
1,132,946.0,935.118
1,133,948.0,935.01
1,134,949.0,935.188
1,135,949.0,935.032
1,136,948.0,934.796
1,137,947.0,934.672
1,138,947.0,934.358
1,139,949.0,934.744
1,140,947.0,934.868
1,141,950.0,934.63
1,142,947.0,934.816
1,143,947.0,934.646
1,144,948.0,934.738
1,145,948.0,934.672
1,146,949.0,934.552
1,147,950.0,934.498
1,148,948.0,934.728
1,149,948.0,935.138
1,150,948.0,934.784
1,151,947.0,934.846
1,152,949.0,934.864
1,153,949.0,934.592
1,154,949.0,934.802
1,155,949.0,934.57
1,156,948.0,934.81
1,157,948.0,935.312
1,158,948.0,935.036
1,159,948.0,934.934
1,160,948.0,934.806
1,161,947.0,934.73
1,162,949.0,934.63
1,163,946.0,934.636
1,164,946.0,934.398
1,165,947.0,934.494
1,166,949.0,934.096
1,167,946.0,934.23
1,168,948.0,934.622
1,169,947.0,935.09
1,170,947.0,935.548
1,171,949.0,935.11
1,172,946.0,934.804
1,173,949.0,934.624
