R,G,bestF,avgF
1,0,204.0,190.668
1,1,204.0,192.568
1,2,205.0,194.546
1,3,207.0,196.022
1,4,208.0,197.256
1,5,208.0,198.22
1,6,209.0,198.804
1,7,208.0,199.782
1,8,212.0,200.984
1,9,212.0,202.272
1,10,212.0,203.044
1,11,212.0,203.758
1,12,212.0,204.672
1,13,213.0,205.174
1,14,214.0,205.792
1,15,214.0,206.396
1,16,214.0,207.192
1,17,214.0,207.898
1,18,214.0,208.392
1,19,216.0,209.194
1,20,215.0,209.464
1,21,216.0,210.192
1,22,216.0,210.78
1,23,216.0,211.372
1,24,217.0,211.864
1,25,217.0,212.336
1,26,217.0,212.934
1,27,217.0,213.162
1,28,217.0,213.582
1,29,217.0,213.956
1,30,217.0,214.276
1,31,217.0,214.642
1,32,217.0,214.758
1,33,217.0,214.976
1,34,217.0,215.28
1,35,217.0,215.406
1,36,217.0,215.476
1,37,217.0,215.622
1,38,217.0,215.582
1,39,217.0,215.622
1,40,217.0,215.584
1,41,217.0,215.798
1,42,217.0,215.838
1,43,217.0,215.784
1,44,217.0,215.884
1,45,217.0,215.828
1,46,217.0,215.85
1,47,217.0,215.872
1,48,217.0,215.906
1,49,217.0,215.88
1,50,217.0,215.932
1,51,217.0,215.872
1,52,217.0,215.836
1,53,217.0,215.598
1,54,217.0,215.724
1,55,217.0,215.918
1,56,217.0,215.89
1,57,217.0,216.072
1,58,217.0,215.776
1,59,217.0,215.794
1,60,217.0,215.84
1,61,217.0,215.788
1,62,217.0,215.704
1,63,217.0,215.896
1,64,217.0,215.718
1,65,217.0,215.75
1,66,217.0,215.836
1,67,217.0,215.832
1,68,217.0,215.886
1,69,217.0,215.85
1,70,217.0,215.904
1,71,217.0,215.754
1,72,217.0,215.76
1,73,217.0,215.702
1,74,217.0,215.684
1,75,217.0,215.814
1,76,217.0,215.814
1,77,217.0,215.818
1,78,217.0,215.898
1,79,217.0,215.782
1,80,217.0,215.764
1,81,217.0,215.956
1,82,217.0,215.87
1,83,217.0,215.934
1,84,217.0,215.918
1,85,217.0,215.788
1,86,217.0,215.736
1,87,217.0,215.892
1,88,217.0,215.972
1,89,217.0,215.83
1,90,217.0,215.802
1,91,217.0,215.832
1,92,217.0,215.756
1,93,217.0,215.774
1,94,217.0,215.906
1,95,217.0,215.826
1,96,217.0,215.904
1,97,217.0,215.904
1,98,217.0,215.88
1,99,217.0,215.912
1,100,217.0,215.838
1,101,217.0,215.874
1,102,217.0,215.746
1,103,217.0,215.65
1,104,217.0,215.626
1,105,217.0,215.734
1,106,217.0,215.8
1,107,217.0,215.884
1,108,217.0,215.818
1,109,217.0,215.822
1,110,217.0,215.99
1,111,217.0,215.88
1,112,217.0,215.762
1,113,217.0,215.844
1,114,217.0,215.924
1,115,217.0,216.004
1,116,217.0,215.896
1,117,217.0,215.8
1,118,217.0,215.898
1,119,217.0,215.834
1,120,217.0,215.776
1,121,217.0,215.81
1,122,217.0,215.734
1,123,217.0,215.642
1,124,217.0,215.732
1,125,217.0,215.742
1,126,217.0,215.672
1,127,217.0,215.784
1,128,217.0,215.868
1,129,217.0,215.788
1,130,217.0,215.888
1,131,217.0,215.81
1,132,217.0,215.73
1,133,217.0,215.872
1,134,217.0,215.88
1,135,217.0,215.88
1,136,217.0,215.794
1,137,217.0,215.75
1,138,217.0,215.818
1,139,217.0,215.844
1,140,217.0,215.786
1,141,217.0,215.994
1,142,217.0,215.864
1,143,217.0,215.63
1,144,217.0,215.748
1,145,217.0,215.778
1,146,217.0,215.75
1,147,217.0,215.726
1,148,217.0,215.89
1,149,217.0,215.842
1,150,217.0,215.788
1,151,217.0,215.712
1,152,217.0,215.57
1,153,217.0,215.702
1,154,217.0,215.818
1,155,217.0,215.94
1,156,217.0,215.84
1,157,217.0,215.86
1,158,217.0,215.866
1,159,217.0,215.852
1,160,217.0,215.748
1,161,217.0,215.94
1,162,217.0,215.82
1,163,217.0,215.916
1,164,217.0,215.898
1,165,217.0,215.806
1,166,217.0,215.958
1,167,217.0,215.844
1,168,217.0,215.658
1,169,217.0,215.756
1,170,217.0,215.806
1,171,217.0,215.81
1,172,217.0,215.796
1,173,217.0,215.94
1,174,217.0,215.846
1,175,217.0,215.852
1,176,217.0,215.74
1,177,217.0,215.812
1,178,217.0,215.836
1,179,217.0,215.858
1,180,217.0,215.792
1,181,217.0,215.754
1,182,217.0,215.818
1,183,217.0,215.874
1,184,217.0,215.926
1,185,217.0,215.786
1,186,217.0,215.864
1,187,217.0,215.732
1,188,217.0,215.75
1,189,217.0,215.724
1,190,217.0,215.798
1,191,217.0,215.812
1,192,217.0,215.828
1,193,217.0,215.938
1,194,217.0,215.77
1,195,217.0,215.826
1,196,217.0,215.944
1,197,217.0,215.878
1,198,217.0,215.878
1,199,217.0,215.878
2,0,207.0,191.03
2,1,205.0,193.4
2,2,208.0,195.116
2,3,209.0,196.418
2,4,208.0,197.778
2,5,208.0,198.934
2,6,209.0,199.594
2,7,211.0,200.472
2,8,210.0,200.862
2,9,211.0,201.996
2,10,212.0,202.596
2,11,213.0,203.674
2,12,214.0,204.686
2,13,214.0,205.12
2,14,213.0,205.662
2,15,213.0,206.338
2,16,214.0,207.014
2,17,214.0,207.468
2,18,214.0,208.272
2,19,215.0,209.276
2,20,215.0,209.758
2,21,216.0,210.2
2,22,216.0,210.59
2,23,216.0,211.07
2,24,216.0,211.852
2,25,216.0,212.146
2,26,216.0,212.62
2,27,216.0,213.106
2,28,216.0,213.578
2,29,216.0,213.894
2,30,216.0,214.146
2,31,216.0,214.364
2,32,216.0,214.464
2,33,216.0,214.672
2,34,216.0,214.936
2,35,216.0,215.034
2,36,216.0,214.854
2,37,216.0,215.054
2,38,216.0,214.924
2,39,216.0,214.952
2,40,216.0,215.008
2,41,216.0,215.052
2,42,216.0,214.896
2,43,216.0,214.918
2,44,216.0,214.938
2,45,216.0,214.87
2,46,216.0,214.886
2,47,216.0,214.982
2,48,216.0,214.976
2,49,216.0,214.976
2,50,216.0,215.018
2,51,216.0,215.008
2,52,216.0,214.948
2,53,216.0,214.81
2,54,216.0,214.948
2,55,216.0,215.028
2,56,216.0,214.95
2,57,216.0,214.848
2,58,216.0,215.012
2,59,216.0,214.906
2,60,216.0,214.954
2,61,216.0,214.88
2,62,216.0,215.112
2,63,216.0,215.016
2,64,216.0,215.006
2,65,216.0,214.922
2,66,216.0,214.888
2,67,216.0,214.996
2,68,216.0,214.9
2,69,216.0,214.976
2,70,216.0,214.87
2,71,216.0,214.974
2,72,216.0,214.924
2,73,216.0,214.868
2,74,216.0,214.842
2,75,216.0,215.07
2,76,216.0,215.058
2,77,216.0,214.83
2,78,216.0,215.006
2,79,216.0,214.916
2,80,216.0,214.954
2,81,216.0,214.902
2,82,216.0,214.78
2,83,216.0,214.922
2,84,216.0,214.992
2,85,216.0,214.946
2,86,216.0,215.034
2,87,216.0,214.964
2,88,216.0,214.906
2,89,216.0,214.972
2,90,216.0,214.98
2,91,216.0,214.892
2,92,216.0,214.912
2,93,216.0,214.998
2,94,216.0,214.998
2,95,216.0,214.998
2,96,216.0,214.992
2,97,216.0,214.994
2,98,216.0,214.912
2,99,216.0,214.882
2,100,216.0,214.988
2,101,216.0,214.996
2,102,216.0,214.988
2,103,216.0,215.116
2,104,216.0,214.926
2,105,216.0,214.964
2,106,216.0,214.988
2,107,216.0,215.154
2,108,216.0,214.852
2,109,216.0,215.026
2,110,216.0,214.926
2,111,216.0,214.948
2,112,216.0,214.918
2,113,216.0,214.92
2,114,216.0,214.902
2,115,216.0,215.056
2,116,216.0,214.85
2,117,216.0,214.94
2,118,216.0,215.058
2,119,216.0,215.058
2,120,216.0,214.962
2,121,216.0,215.014
2,122,216.0,214.966
2,123,216.0,214.966
2,124,216.0,214.876
2,125,216.0,215.01
2,126,216.0,215.022
2,127,216.0,215.096
2,128,216.0,214.834
2,129,216.0,214.928
2,130,216.0,214.884
2,131,216.0,214.902
2,132,216.0,214.886
2,133,216.0,215.02
2,134,216.0,214.872
2,135,216.0,215.096
2,136,216.0,214.9
2,137,216.0,214.946
2,138,216.0,214.91
2,139,216.0,214.968
2,140,216.0,215.018
2,141,216.0,214.954
2,142,216.0,214.866
2,143,216.0,215.016
2,144,216.0,215.108
2,145,216.0,214.912
2,146,216.0,215.014
2,147,216.0,214.974
2,148,216.0,215.078
2,149,216.0,215.01
2,150,216.0,214.964
2,151,216.0,214.854
2,152,216.0,214.982
2,153,216.0,214.878
2,154,216.0,215.042
2,155,216.0,214.898
2,156,216.0,215.016
2,157,216.0,214.974
2,158,216.0,214.848
2,159,216.0,214.882
2,160,216.0,214.914
2,161,216.0,215.056
2,162,216.0,214.978
2,163,216.0,214.954
2,164,216.0,214.926
2,165,216.0,214.926
2,166,216.0,214.992
2,167,216.0,215.058
2,168,216.0,214.984
2,169,216.0,214.996
2,170,216.0,214.916
2,171,216.0,214.942
2,172,216.0,214.852
2,173,216.0,214.966
2,174,216.0,214.95
2,175,216.0,214.996
2,176,216.0,215.012
2,177,216.0,214.976
2,178,216.0,215.066
2,179,216.0,215.018
2,180,216.0,214.948
2,181,216.0,214.956
2,182,216.0,215.084
2,183,216.0,214.924
2,184,216.0,215.058
2,185,216.0,214.984
2,186,216.0,214.976
2,187,216.0,215.07
2,188,216.0,214.978
2,189,216.0,214.978
2,190,216.0,215.12
2,191,216.0,214.99
2,192,216.0,214.984
