R,G,bestF,avgF
1,0,88.0,79.554
1,1,89.0,81.058
1,2,90.0,82.526
1,3,90.0,83.484
1,4,89.0,84.364
1,5,89.0,84.91
1,6,89.0,85.594
1,7,89.0,86.078
1,8,90.0,86.506
1,9,89.0,86.79
1,10,90.0,87.242
1,11,90.0,87.594
1,12,90.0,87.764
1,13,90.0,87.998
1,14,90.0,88.14
1,15,90.0,88.37
1,16,90.0,88.444
1,17,90.0,88.586
1,18,90.0,88.55
1,19,90.0,88.574
1,20,90.0,88.546
1,21,90.0,88.702
1,22,90.0,88.688
1,23,90.0,88.666
1,24,90.0,88.67
1,25,90.0,88.704
1,26,90.0,88.67
1,27,90.0,88.622
1,28,90.0,88.664
1,29,90.0,88.618
1,30,90.0,88.692
1,31,90.0,88.608
1,32,90.0,88.728
1,33,90.0,88.77
1,34,90.0,88.67
1,35,90.0,88.714
1,36,90.0,88.712
1,37,90.0,88.586
1,38,90.0,88.638
1,39,90.0,88.744
1,40,90.0,88.728
1,41,90.0,88.694
1,42,90.0,88.892
1,43,90.0,88.944
1,44,90.0,89.126
1,45,90.0,89.37
1,46,90.0,89.426
1,47,90.0,89.488
1,48,90.0,89.568
1,49,90.0,89.586
1,50,90.0,89.582
1,51,90.0,89.588
1,52,90.0,89.534
1,53,90.0,89.618
1,54,90.0,89.598
1,55,90.0,89.558
1,56,90.0,89.63
1,57,90.0,89.566
1,58,90.0,89.62
1,59,90.0,89.694
1,60,90.0,89.63
1,61,90.0,89.556
1,62,90.0,89.634
1,63,90.0,89.672
1,64,90.0,89.604
1,65,90.0,89.638
1,66,90.0,89.632
1,67,90.0,89.57
1,68,90.0,89.664
1,69,90.0,89.718
1,70,90.0,89.7
1,71,90.0,89.604
1,72,90.0,89.686
1,73,90.0,89.576
1,74,90.0,89.676
1,75,90.0,89.596
1,76,90.0,89.578
1,77,90.0,89.682
1,78,90.0,89.68
1,79,90.0,89.672
1,80,90.0,89.602
1,81,90.0,89.678
1,82,90.0,89.67
1,83,90.0,89.624
1,84,90.0,89.69
1,85,90.0,89.596
1,86,90.0,89.596
1,87,90.0,89.572
1,88,90.0,89.64
1,89,90.0,89.664
1,90,90.0,89.656
1,91,90.0,89.54
1,92,90.0,89.63
1,93,90.0,89.606
1,94,90.0,89.678
1,95,90.0,89.616
1,96,90.0,89.648
1,97,90.0,89.624
1,98,90.0,89.652
1,99,90.0,89.672
1,100,90.0,89.634
1,101,90.0,89.616
1,102,90.0,89.574
1,103,90.0,89.598
1,104,90.0,89.55
1,105,90.0,89.632
1,106,90.0,89.642
1,107,90.0,89.542
1,108,90.0,89.676
1,109,90.0,89.652
1,110,90.0,89.694
1,111,90.0,89.598
1,112,90.0,89.652
1,113,90.0,89.644
1,114,90.0,89.62
1,115,90.0,89.69
1,116,90.0,89.676
1,117,90.0,89.574
1,118,90.0,89.642
1,119,90.0,89.564
1,120,90.0,89.618
1,121,90.0,89.666
1,122,90.0,89.66
1,123,90.0,89.664
1,124,90.0,89.644
1,125,90.0,89.602
1,126,90.0,89.682
1,127,90.0,89.562
1,128,90.0,89.684
1,129,90.0,89.664
1,130,90.0,89.56
1,131,90.0,89.678
1,132,90.0,89.64
1,133,90.0,89.626
1,134,90.0,89.546
1,135,90.0,89.666
1,136,90.0,89.596
1,137,90.0,89.54
1,138,90.0,89.698
1,139,90.0,89.58
1,140,90.0,89.52
1,141,90.0,89.658
1,142,90.0,89.7
1,143,90.0,89.586
1,144,90.0,89.594
1,145,90.0,89.702
1,146,90.0,89.592
1,147,90.0,89.664
1,148,90.0,89.582
1,149,90.0,89.582
1,150,90.0,89.61
1,151,90.0,89.636
1,152,90.0,89.658
1,153,90.0,89.686
1,154,90.0,89.628
1,155,90.0,89.566
1,156,90.0,89.554
1,157,90.0,89.644
1,158,90.0,89.644
