R,G,bestF,avgF
1,0,689.0,658.42
1,1,687.0,662.376
1,2,691.0,665.946
1,3,692.0,668.948
1,4,700.0,671.928
1,5,695.0,673.148
1,6,694.0,675.818
1,7,697.0,677.614
1,8,699.0,679.766
1,9,702.0,682.036
1,10,706.0,683.406
1,11,703.0,684.62
1,12,705.0,685.808
1,13,705.0,687.96
1,14,705.0,689.224
1,15,711.0,690.798
1,16,711.0,691.502
1,17,713.0,692.76
1,18,713.0,694.368
1,19,715.0,695.618
1,20,714.0,696.69
1,21,714.0,697.404
1,22,714.0,698.748
1,23,717.0,700.08
1,24,717.0,701.58
1,25,720.0,702.474
1,26,720.0,703.426
1,27,719.0,704.048
1,28,720.0,705.454
1,29,720.0,705.942
1,30,723.0,706.708
1,31,723.0,707.722
1,32,722.0,708.57
1,33,724.0,709.21
1,34,726.0,709.554
1,35,727.0,711.208
1,36,730.0,711.494
1,37,726.0,711.982
1,38,726.0,712.946
1,39,728.0,714.002
1,40,730.0,715.126
1,41,730.0,715.474
1,42,729.0,716.194
1,43,733.0,716.208
1,44,730.0,716.828
1,45,732.0,717.198
1,46,730.0,717.946
1,47,731.0,718.584
1,48,732.0,719.17
1,49,731.0,719.838
1,50,732.0,720.266
1,51,737.0,720.572
1,52,733.0,721.468
1,53,736.0,722.042
1,54,735.0,722.662
1,55,735.0,723.132
1,56,735.0,723.864
1,57,735.0,724.738
1,58,736.0,725.13
1,59,736.0,725.208
1,60,739.0,725.384
1,61,739.0,725.566
1,62,738.0,726.408
1,63,738.0,727.1
1,64,738.0,727.546
1,65,737.0,727.774
1,66,737.0,727.912
1,67,739.0,728.076
1,68,738.0,728.552
1,69,737.0,728.694
1,70,738.0,728.384
1,71,739.0,728.664
1,72,740.0,728.928
1,73,738.0,728.864
1,74,738.0,728.664
1,75,740.0,729.128
1,76,739.0,729.31
1,77,739.0,729.278
1,78,740.0,729.248
1,79,740.0,729.522
1,80,740.0,729.282
1,81,740.0,729.608
1,82,738.0,730.002
1,83,740.0,730.156
1,84,740.0,730.204
1,85,739.0,729.936
1,86,739.0,730.018
1,87,739.0,730.158
1,88,741.0,730.768
1,89,740.0,730.508
1,90,740.0,730.134
1,91,740.0,730.006
1,92,741.0,729.868
1,93,739.0,729.688
1,94,739.0,729.988
1,95,739.0,730.204
1,96,740.0,730.264
1,97,740.0,730.68
1,98,741.0,731.138
1,99,741.0,731.18
1,100,741.0,731.282
1,101,740.0,731.14
1,102,740.0,730.866
1,103,741.0,730.876
1,104,741.0,731.13
1,105,741.0,730.976
1,106,741.0,731.398
1,107,741.0,731.306
1,108,741.0,731.636
1,109,740.0,731.446
1,110,740.0,731.7
