R,G,bestF,avgF
2,32,322.0,317.676
2,33,323.0,317.974
2,34,323.0,318.16
2,35,323.0,318.416
2,36,323.0,318.82
2,37,323.0,318.786
2,38,323.0,319.14
2,39,323.0,319.476
2,40,323.0,319.696
2,41,323.0,319.796
2,42,323.0,319.874
2,43,323.0,319.956
2,44,323.0,319.992
2,45,323.0,319.876
2,46,323.0,319.858
2,47,323.0,319.996
2,48,323.0,319.982
2,49,323.0,320.076
2,50,323.0,320.096
2,51,323.0,319.838
2,52,323.0,320.094
2,53,323.0,319.932
2,54,323.0,320.222
2,55,323.0,320.322
2,56,323.0,320.554
2,57,323.0,320.488
2,58,323.0,320.734
2,59,323.0,320.758
2,60,323.0,320.92
2,61,323.0,320.668
2,62,323.0,320.88
2,63,323.0,320.856
2,64,323.0,320.638
2,65,323.0,320.674
2,66,323.0,320.942
2,67,323.0,320.76
2,68,323.0,320.87
2,69,323.0,320.916
2,70,323.0,320.848
2,71,323.0,320.932
2,72,323.0,320.848
2,73,323.0,321.012
2,74,323.0,320.902
2,75,323.0,320.758
2,76,323.0,320.728
2,77,323.0,320.722
2,78,323.0,320.862
2,79,323.0,320.898
2,80,323.0,320.744
2,81,323.0,320.782
2,82,323.0,320.888
2,83,323.0,320.786
2,84,323.0,320.852
2,85,323.0,320.928
2,86,323.0,320.932
2,87,323.0,320.878
2,88,323.0,320.972
2,89,323.0,320.95
2,90,323.0,320.872
2,91,323.0,320.916
2,92,323.0,320.872
2,93,323.0,320.824
2,94,323.0,320.816
2,95,323.0,320.768
2,96,323.0,320.926
2,97,323.0,320.968
2,98,323.0,320.972
2,99,323.0,320.882
2,100,323.0,320.75
2,101,323.0,321.042
2,102,323.0,320.832
2,103,323.0,320.97
2,104,323.0,320.776
2,105,323.0,321.04
2,106,323.0,320.95
2,107,323.0,321.01
2,108,323.0,320.884
2,109,323.0,320.774
2,110,323.0,320.85
2,111,323.0,320.962
2,112,323.0,320.928
2,113,323.0,320.88
2,114,323.0,320.934
2,115,323.0,320.924
2,116,323.0,320.916
2,117,323.0,320.858
2,118,323.0,320.744
2,119,323.0,320.746
2,120,323.0,320.892
2,121,323.0,320.772
2,122,323.0,320.736
2,123,323.0,320.88
2,124,323.0,320.846
2,125,323.0,320.678
2,126,323.0,320.708
2,127,323.0,320.892
2,128,323.0,321.094
2,129,323.0,321.172
2,130,323.0,321.076
2,131,323.0,321.122
2,132,323.0,321.296
2,133,323.0,321.074
2,134,323.0,320.962
2,135,323.0,320.984
2,136,323.0,321.084
2,137,323.0,320.944
2,138,323.0,320.802
2,139,323.0,320.72
2,140,323.0,320.712
2,141,323.0,320.608
2,142,323.0,320.606
2,143,323.0,320.666
2,144,323.0,320.708
2,145,323.0,320.622
2,146,323.0,320.71
2,147,323.0,320.654
2,148,323.0,320.776
2,149,323.0,320.756
2,150,323.0,320.658
2,151,323.0,320.8
2,152,323.0,320.608
2,153,323.0,320.666
2,154,323.0,320.58
2,155,323.0,320.592
2,156,323.0,320.686
2,157,323.0,320.772
2,158,323.0,320.718
2,159,323.0,320.762
2,160,323.0,320.696
2,161,323.0,320.77
2,162,323.0,320.714
2,163,323.0,320.714
2,164,323.0,320.744
2,165,323.0,320.842
2,166,323.0,320.73
2,167,323.0,320.692
2,168,323.0,320.712
2,169,323.0,320.792
2,170,323.0,320.81
2,171,323.0,320.918
2,172,323.0,320.9
2,173,323.0,320.688
2,174,323.0,320.848
2,175,323.0,320.91
2,176,323.0,320.8
2,177,323.0,320.884
2,178,323.0,320.884
2,179,323.0,320.87
2,180,323.0,320.722
2,181,323.0,320.754
2,182,323.0,320.616
2,183,323.0,320.73
2,184,323.0,320.878
2,185,323.0,320.71
2,186,323.0,320.872
2,187,323.0,320.996
2,188,323.0,320.992
2,189,323.0,321.086
2,190,323.0,321.106
2,191,323.0,320.956
2,192,323.0,320.846
2,193,323.0,320.882
2,194,323.0,320.804
2,195,323.0,320.846
2,196,323.0,320.914
2,197,323.0,320.918
2,198,323.0,320.862
2,199,323.0,320.868
3,0,302.0,284.412
3,1,303.0,286.866
3,2,303.0,288.424
3,3,302.0,290.05
3,4,305.0,291.28
3,5,305.0,292.158
3,6,309.0,293.55
3,7,308.0,294.722
3,8,309.0,296.248
3,9,310.0,297.356
3,10,312.0,298.472
3,11,310.0,299.74
3,12,312.0,300.792
3,13,312.0,302.162
3,14,313.0,302.848
3,15,315.0,304.116
3,16,314.0,305.392
3,17,317.0,306.662
3,18,317.0,307.386
3,19,318.0,308.278
3,20,319.0,309.242
3,21,319.0,309.788
3,22,320.0,310.986
3,23,320.0,311.728
3,24,320.0,312.672
3,25,320.0,313.46
3,26,321.0,314.226
3,27,321.0,314.668
3,28,322.0,315.486
3,29,323.0,316.092
3,30,323.0,316.606
3,31,322.0,316.804
3,32,323.0,317.056
3,33,324.0,317.246
3,34,324.0,317.968
3,35,323.0,318.186
3,36,323.0,318.47
3,37,323.0,318.734
3,38,323.0,319.086
3,39,324.0,319.354
3,40,324.0,319.302
3,41,324.0,319.482
3,42,324.0,319.778
3,43,324.0,319.798
3,44,324.0,320.042
3,45,324.0,320.178
3,46,324.0,320.272
3,47,324.0,320.594
3,48,324.0,320.52
3,49,324.0,320.656
3,50,324.0,320.816
3,51,324.0,320.784
3,52,324.0,320.858
3,53,324.0,321.014
3,54,324.0,321.084
3,55,324.0,321.066
3,56,324.0,320.872
3,57,324.0,321.004
3,58,324.0,321.196
3,59,324.0,321.17
3,60,324.0,321.494
3,61,324.0,321.594
3,62,324.0,321.678
3,63,324.0,321.714
3,64,324.0,321.738
3,65,324.0,321.78
3,66,324.0,321.942
3,67,324.0,321.852
3,68,324.0,321.766
3,69,324.0,321.862
3,70,324.0,321.814
3,71,324.0,321.674
3,72,324.0,321.788
3,73,324.0,321.78
3,74,324.0,321.854
3,75,324.0,321.806
3,76,324.0,321.846
3,77,324.0,321.708
3,78,324.0,321.718
3,79,324.0,321.65
3,80,324.0,321.656
3,81,324.0,321.644
3,82,324.0,321.882
3,83,324.0,321.656
3,84,324.0,321.828
3,85,324.0,321.786
3,86,324.0,321.888
3,87,324.0,321.92
3,88,324.0,321.9
3,89,324.0,321.932
3,90,324.0,321.92
3,91,324.0,321.798
3,92,324.0,321.694
3,93,324.0,321.644
3,94,324.0,321.796
3,95,324.0,321.828
3,96,324.0,321.656
3,97,324.0,321.806
3,98,324.0,321.746
3,99,324.0,321.81
3,100,324.0,321.846
3,101,324.0,321.582
3,102,324.0,321.786
3,103,324.0,321.878
3,104,324.0,321.808
3,105,324.0,321.742
3,106,324.0,321.638
3,107,324.0,321.568
3,108,324.0,321.89
3,109,324.0,321.66
3,110,324.0,321.792
3,111,324.0,321.726
3,112,324.0,321.884
3,113,324.0,321.718
