XR,R,G,bestF,avgF
1,14,1,88.0,81.148
1,14,2,89.0,82.164
1,14,3,89.0,83.02
1,14,4,89.0,83.718
1,14,5,89.0,84.21
1,14,6,89.0,84.574
1,14,7,90.0,84.996
1,14,8,90.0,85.372
1,14,9,90.0,85.664
1,14,10,90.0,86.02
1,14,11,90.0,86.274
1,14,12,90.0,86.468
1,14,13,90.0,86.656
1,14,14,90.0,86.832
1,14,15,90.0,87.0
1,14,16,90.0,87.166
1,14,17,90.0,87.32
1,14,18,90.0,87.484
1,14,19,90.0,87.644
1,14,20,91.0,87.816
1,15,0,88.0,79.616
1,15,1,88.0,81.148
1,15,2,88.0,82.05
1,15,3,88.0,82.956
1,15,4,89.0,83.698
1,15,5,89.0,84.368
1,15,6,89.0,84.878
1,15,7,89.0,85.372
1,15,8,89.0,85.762
1,15,9,89.0,86.09
1,15,10,89.0,86.346
1,15,11,90.0,86.628
1,15,12,90.0,86.83
1,15,13,90.0,87.026
1,15,14,90.0,87.198
1,15,15,90.0,87.338
1,15,16,90.0,87.452
1,15,17,90.0,87.59
1,15,18,90.0,87.702
1,15,19,90.0,87.814
1,15,20,90.0,87.92
1,15,21,90.0,87.992
1,15,22,90.0,88.076
1,15,23,90.0,88.146
1,15,24,90.0,88.202
1,15,25,90.0,88.268
1,15,26,91.0,88.33
1,16,0,89.0,79.576
1,16,1,89.0,80.988
1,16,2,89.0,82.208
1,16,3,89.0,83.108
1,16,4,89.0,83.84
1,16,5,89.0,84.444
1,16,6,90.0,84.976
1,16,7,90.0,85.388
1,16,8,90.0,85.7
1,16,9,90.0,86.014
1,16,10,90.0,86.292
1,16,11,90.0,86.53
1,16,12,90.0,86.736
1,16,13,90.0,86.952
1,16,14,90.0,87.138
1,16,15,90.0,87.322
1,16,16,90.0,87.462
1,16,17,90.0,87.574
1,16,18,90.0,87.682
1,16,19,90.0,87.786
1,16,20,90.0,87.86
1,16,21,90.0,87.948
1,16,22,90.0,88.06
1,16,23,90.0,88.118
1,16,24,90.0,88.192
1,16,25,90.0,88.276
1,16,26,90.0,88.314
1,16,27,91.0,88.37
1,17,0,88.0,79.774
1,17,1,89.0,81.12
1,17,2,89.0,82.152
1,17,3,89.0,83.008
1,17,4,90.0,83.71
1,17,5,90.0,84.298
1,17,6,90.0,84.878
1,17,7,90.0,85.274
1,17,8,90.0,85.604
1,17,9,90.0,85.872
1,17,10,90.0,86.144
1,17,11,90.0,86.356
1,17,12,90.0,86.602
1,17,13,90.0,86.832
1,17,14,90.0,87.002
1,17,15,90.0,87.152
1,17,16,90.0,87.304
1,17,17,90.0,87.424
1,17,18,90.0,87.54
1,17,19,90.0,87.688
1,17,20,90.0,87.804
1,17,21,90.0,87.888
1,17,22,90.0,87.982
1,17,23,90.0,88.036
1,17,24,90.0,88.118
1,17,25,90.0,88.172
1,17,26,90.0,88.23
1,17,27,91.0,88.292
1,18,0,88.0,79.888
1,18,1,89.0,81.386
1,18,2,89.0,82.466
1,18,3,90.0,83.24
1,18,4,90.0,83.876
1,18,5,90.0,84.44
1,18,6,90.0,84.906
1,18,7,90.0,85.292
1,18,8,90.0,85.676
1,18,9,90.0,86.022
1,18,10,90.0,86.304
1,18,11,91.0,86.57
1,19,0,89.0,79.518
1,19,1,89.0,80.882
1,19,2,89.0,82.018
1,19,3,91.0,82.974
1,20,0,88.0,79.766
1,20,1,88.0,81.262
1,20,2,88.0,82.328
1,20,3,88.0,83.2
1,20,4,89.0,83.914
1,20,5,91.0,84.488
1,21,0,88.0,79.728
1,21,1,89.0,81.216
1,21,2,89.0,82.272
1,21,3,89.0,83.142
1,21,4,89.0,83.808
1,21,5,89.0,84.342
1,21,6,89.0,84.834
1,21,7,90.0,85.266
1,21,8,90.0,85.588
1,21,9,90.0,85.926
1,21,10,90.0,86.17
1,21,11,90.0,86.418
1,21,12,90.0,86.712
1,21,13,90.0,86.924
1,21,14,90.0,87.056
1,21,15,90.0,87.208
1,21,16,90.0,87.362
1,21,17,90.0,87.488
1,21,18,90.0,87.596
1,21,19,90.0,87.698
1,21,20,90.0,87.784
1,21,21,90.0,87.888
1,21,22,91.0,87.986
1,22,0,88.0,79.65
1,22,1,89.0,81.186
1,22,2,89.0,82.202
1,22,3,89.0,83.026
1,22,4,90.0,83.786
1,22,5,90.0,84.28
1,22,6,90.0,84.778
1,22,7,90.0,85.192
1,22,8,90.0,85.588
1,22,9,90.0,85.946
1,22,10,90.0,86.27
1,22,11,90.0,86.522
1,22,12,91.0,86.758
1,23,0,88.0,79.7
1,23,1,88.0,81.23
1,23,2,89.0,82.35
1,23,3,90.0,83.276
1,23,4,90.0,83.946
1,23,5,90.0,84.494
1,23,6,90.0,84.982
1,23,7,90.0,85.42
1,23,8,90.0,85.77
1,23,9,90.0,86.016
1,23,10,90.0,86.308
1,23,11,90.0,86.586
1,23,12,91.0,86.802
1,24,0,88.0,79.578
1,24,1,89.0,81.036
1,24,2,89.0,82.068
1,24,3,89.0,82.974
1,24,4,89.0,83.648
1,24,5,89.0,84.232
1,24,6,89.0,84.66
1,24,7,89.0,85.076
1,24,8,89.0,85.406
1,24,9,90.0,85.744
1,24,10,90.0,86.036
1,24,11,91.0,86.25
1,25,0,87.0,79.706
1,25,1,89.0,81.104
