R,G,bestF,avgF
1,0,394.0,376.086
1,1,395.0,378.906
1,2,397.0,381.302
1,3,401.0,383.17
1,4,402.0,384.872
1,5,402.0,386.948
1,6,403.0,388.304
1,7,405.0,390.05
1,8,405.0,391.166
1,9,407.0,392.656
1,10,411.0,393.736
1,11,408.0,394.972
1,12,410.0,395.952
1,13,410.0,397.184
1,14,409.0,398.414
1,15,411.0,398.914
1,16,413.0,400.144
1,17,413.0,401.218
1,18,416.0,402.268
1,19,418.0,403.432
1,20,414.0,404.302
1,21,415.0,405.102
1,22,416.0,405.87
1,23,418.0,406.582
1,24,416.0,407.56
1,25,420.0,408.234
1,26,418.0,409.146
1,27,418.0,409.888
1,28,422.0,410.628
1,29,422.0,410.812
1,30,422.0,411.146
1,31,421.0,411.732
1,32,423.0,412.24
1,33,422.0,412.674
1,34,422.0,413.146
1,35,423.0,413.922
1,36,423.0,414.37
1,37,423.0,414.748
1,38,424.0,415.294
1,39,424.0,415.86
1,40,423.0,416.288
1,41,424.0,417.008
1,42,423.0,417.326
1,43,424.0,417.914
1,44,424.0,418.214
1,45,424.0,418.782
1,46,424.0,418.928
1,47,424.0,419.178
1,48,424.0,419.302
1,49,424.0,419.524
1,50,424.0,419.762
1,51,424.0,419.778
1,52,424.0,419.874
1,53,424.0,419.942
1,54,424.0,420.236
1,55,424.0,420.318
1,56,424.0,420.556
1,57,424.0,420.676
1,58,424.0,420.662
1,59,424.0,420.884
1,60,424.0,420.848
1,61,424.0,420.802
1,62,424.0,420.89
1,63,424.0,420.954
1,64,424.0,420.71
1,65,424.0,420.802
1,66,424.0,421.032
1,67,425.0,420.956
1,68,424.0,420.852
1,69,425.0,421.104
1,70,425.0,421.304
1,71,424.0,421.396
1,72,425.0,421.388
1,73,425.0,421.248
1,74,424.0,421.292
1,75,425.0,421.084
1,76,424.0,421.09
1,77,424.0,420.974
1,78,424.0,420.908
1,79,424.0,420.998
1,80,424.0,421.178
1,81,424.0,420.948
1,82,424.0,421.028
1,83,424.0,421.01
1,84,424.0,421.204
1,85,424.0,421.344
1,86,424.0,421.286
1,87,424.0,421.104
1,88,424.0,421.066
1,89,424.0,420.87
1,90,424.0,420.93
1,91,424.0,420.964
1,92,424.0,420.88
1,93,424.0,421.11
1,94,424.0,421.144
1,95,424.0,421.31
1,96,424.0,421.31
1,97,424.0,421.526
1,98,424.0,421.41
1,99,424.0,421.386
1,100,424.0,421.328
1,101,424.0,421.098
1,102,424.0,420.988
1,103,424.0,421.098
1,104,424.0,421.156
1,105,424.0,421.138
1,106,424.0,421.166
1,107,424.0,420.964
1,108,424.0,421.026
1,109,424.0,421.162
1,110,424.0,421.028
1,111,424.0,421.012
1,112,425.0,421.138
