R,G,bestF,avgF
1,0,780.0,751.938
1,1,782.0,755.638
1,2,784.0,759.122
1,3,785.0,762.04
1,4,788.0,764.544
1,5,794.0,766.644
1,6,794.0,769.26
1,7,795.0,771.664
1,8,798.0,773.394
1,9,795.0,775.198
1,10,801.0,776.99
1,11,801.0,777.848
1,12,803.0,779.824
1,13,802.0,781.918
1,14,802.0,783.164
1,15,806.0,785.28
1,16,807.0,786.788
1,17,808.0,788.202
1,18,812.0,790.19
1,19,809.0,791.668
1,20,812.0,794.012
1,21,814.0,795.46
1,22,816.0,796.956
1,23,815.0,798.156
1,24,820.0,799.572
1,25,822.0,801.694
1,26,822.0,802.784
1,27,824.0,804.146
1,28,826.0,805.376
1,29,825.0,806.638
1,30,825.0,807.904
1,31,825.0,809.306
1,32,833.0,810.486
1,33,828.0,811.0
1,34,827.0,811.838
1,35,830.0,812.498
1,36,833.0,813.778
1,37,833.0,815.052
1,38,832.0,816.238
1,39,833.0,816.854
1,40,833.0,818.126
1,41,836.0,819.186
1,42,835.0,820.648
1,43,835.0,821.416
1,44,836.0,822.422
1,45,835.0,822.388
1,46,837.0,822.826
1,47,839.0,823.118
1,48,836.0,823.848
1,49,837.0,824.528
1,50,839.0,825.08
1,51,840.0,825.436
1,52,839.0,825.932
1,53,837.0,825.842
1,54,839.0,825.87
1,55,839.0,826.12
1,56,842.0,827.024
1,57,842.0,827.602
1,58,840.0,827.556
1,59,839.0,827.934
1,60,840.0,828.15
1,61,841.0,828.418
1,62,840.0,828.892
1,63,843.0,828.662
1,64,843.0,829.226
1,65,841.0,829.452
1,66,842.0,829.866
1,67,841.0,830.156
1,68,844.0,830.872
1,69,842.0,831.056
1,70,843.0,831.322
1,71,844.0,831.752
1,72,844.0,831.92
1,73,846.0,832.046
1,74,843.0,832.284
1,75,843.0,831.828
1,76,844.0,832.002
1,77,844.0,832.062
1,78,844.0,832.57
1,79,845.0,832.37
1,80,844.0,832.318
1,81,844.0,832.836
1,82,844.0,833.022
1,83,845.0,833.158
1,84,845.0,833.388
1,85,845.0,833.566
1,86,845.0,833.628
1,87,846.0,833.902
1,88,845.0,834.042
1,89,846.0,833.976
1,90,845.0,834.44
1,91,846.0,834.468
1,92,846.0,834.564
1,93,847.0,834.852
1,94,848.0,834.77
1,95,845.0,834.904
1,96,847.0,835.07
1,97,845.0,834.814
1,98,848.0,835.278
1,99,847.0,835.33
1,100,848.0,835.804
1,101,847.0,835.796
1,102,849.0,835.414
1,103,848.0,835.56
1,104,849.0,835.916
1,105,849.0,836.03
1,106,850.0,836.178
1,107,846.0,836.124
1,108,848.0,836.204
1,109,846.0,836.244
1,110,847.0,836.218
1,111,848.0,835.974
1,112,848.0,836.258
1,113,847.0,836.384
1,114,847.0,836.51
1,115,849.0,836.912
1,116,848.0,836.734
1,117,847.0,836.894
1,118,849.0,836.806
1,119,848.0,836.758
1,120,849.0,836.964
1,121,848.0,837.106
1,122,849.0,837.04
1,123,852.0,837.112
1,124,850.0,837.14
1,125,850.0,837.356
1,126,850.0,837.336
1,127,849.0,837.454
1,128,849.0,837.458
1,129,849.0,837.692
1,130,849.0,837.762
1,131,849.0,837.868
1,132,850.0,838.068
1,133,850.0,837.998
1,134,849.0,838.38
1,135,850.0,838.49
1,136,849.0,838.828
1,137,849.0,838.846
1,138,849.0,838.78
1,139,851.0,838.638
1,140,849.0,838.766
1,141,851.0,838.634
1,142,850.0,838.374
1,143,851.0,838.61
1,144,850.0,838.624
1,145,850.0,838.74
1,146,849.0,839.07
1,147,849.0,838.872
1,148,849.0,838.822
1,149,848.0,839.002
1,150,851.0,838.822
1,151,851.0,838.792
1,152,850.0,838.706
1,153,850.0,838.622
1,154,849.0,838.84
1,155,851.0,839.048
1,156,851.0,839.08
1,157,851.0,839.294
1,158,849.0,839.342
1,159,851.0,839.422
1,160,850.0,839.452
1,161,850.0,839.444
1,162,852.0,839.398
1,163,850.0,839.196
1,164,850.0,839.208
1,165,851.0,839.234
1,166,852.0,839.23
1,167,850.0,839.298
1,168,851.0,839.59
1,169,852.0,839.592
1,170,850.0,839.528
1,171,850.0,839.406
1,172,851.0,839.064
1,173,850.0,839.092
1,174,850.0,839.304
1,175,850.0,839.48
1,176,851.0,839.476
1,177,850.0,839.414
1,178,851.0,839.58
1,179,852.0,839.626
1,180,851.0,839.608
1,181,852.0,839.456
1,182,850.0,839.69
1,183,851.0,839.876
1,184,850.0,839.892
1,185,852.0,840.05
1,186,852.0,840.364
1,187,852.0,840.332
1,188,851.0,840.036
1,189,850.0,840.462
1,190,851.0,840.352
1,191,850.0,840.512
1,192,852.0,840.154
1,193,851.0,839.78
1,194,851.0,839.894
1,195,850.0,839.972
1,196,851.0,839.674
1,197,851.0,839.632
1,198,851.0,839.88
1,199,851.0,839.666
2,0,783.0,752.614
2,1,782.0,757.072
2,2,790.0,760.358
2,3,789.0,762.698
2,4,785.0,765.104
2,5,792.0,767.136
2,6,794.0,769.154
2,7,796.0,771.762
2,8,796.0,772.846
2,9,801.0,774.636
2,10,802.0,776.716
2,11,805.0,778.856
2,12,806.0,779.952
2,13,809.0,782.328
2,14,805.0,783.906
2,15,809.0,785.99
2,16,810.0,787.984
2,17,815.0,790.17
2,18,810.0,792.648
2,19,815.0,793.758
2,20,814.0,795.524
2,21,815.0,797.826
2,22,817.0,799.864
2,23,820.0,801.242
2,24,819.0,802.874
2,25,824.0,804.376
2,26,823.0,805.464
2,27,826.0,806.592
2,28,825.0,807.36
2,29,825.0,808.736
2,30,824.0,809.594
2,31,827.0,810.58
2,32,833.0,812.186
2,33,831.0,812.926
2,34,830.0,814.31
2,35,830.0,815.29
2,36,832.0,815.998
2,37,833.0,817.088
2,38,834.0,818.432
2,39,836.0,819.172
2,40,836.0,819.734
2,41,835.0,820.224
2,42,836.0,821.288
2,43,836.0,821.95
2,44,837.0,822.538
2,45,839.0,823.066
2,46,842.0,823.944
2,47,838.0,824.346
2,48,840.0,824.724
2,49,840.0,824.744
2,50,841.0,825.454
2,51,841.0,826.204
2,52,840.0,826.43
2,53,841.0,827.138
2,54,840.0,827.806
2,55,843.0,828.596
2,56,844.0,828.682
2,57,843.0,828.672
2,58,843.0,829.772
2,59,845.0,830.49
2,60,844.0,830.96
2,61,845.0,831.032
2,62,845.0,831.398
2,63,844.0,831.152
2,64,847.0,831.534
2,65,846.0,831.706
2,66,845.0,832.288
2,67,846.0,832.28
2,68,846.0,832.404
2,69,847.0,832.638
2,70,846.0,832.992
2,71,845.0,833.198
2,72,845.0,833.528
2,73,846.0,833.446
2,74,847.0,833.732
2,75,846.0,833.758
2,76,846.0,833.746
2,77,846.0,833.686
2,78,848.0,833.482
2,79,846.0,834.104
2,80,848.0,834.374
2,81,848.0,834.52
2,82,848.0,834.84
2,83,847.0,835.112
2,84,845.0,834.514
2,85,846.0,834.74
2,86,847.0,834.684
2,87,846.0,834.876
2,88,849.0,835.504
2,89,847.0,835.392
2,90,847.0,835.386
2,91,847.0,835.976
2,92,848.0,835.996
2,93,849.0,835.816
2,94,850.0,835.846
2,95,848.0,836.146
2,96,850.0,836.182
2,97,849.0,836.408
2,98,848.0,836.42
2,99,849.0,836.484
2,100,853.0,836.696
2,101,848.0,836.902
2,102,849.0,836.764
2,103,848.0,837.176
2,104,848.0,837.356
2,105,847.0,836.894
2,106,848.0,837.06
2,107,849.0,837.004
2,108,848.0,837.468
2,109,847.0,837.764
2,110,848.0,837.304
2,111,848.0,837.112
2,112,850.0,837.276
2,113,848.0,837.538
2,114,849.0,836.804
2,115,850.0,837.114
2,116,849.0,837.614
2,117,850.0,837.736
2,118,849.0,838.17
2,119,848.0,837.95
2,120,848.0,838.194
2,121,850.0,838.158
2,122,849.0,838.31
2,123,850.0,837.96
2,124,851.0,838.002
2,125,850.0,837.86
2,126,849.0,837.94
2,127,849.0,837.618
2,128,850.0,837.788
2,129,851.0,837.984
2,130,850.0,838.202
2,131,849.0,838.222
2,132,848.0,837.8
2,133,850.0,837.968
2,134,850.0,837.764
2,135,849.0,838.048
2,136,850.0,838.416
2,137,851.0,838.118
2,138,850.0,837.918
2,139,850.0,837.914
2,140,849.0,837.982
2,141,849.0,837.774
2,142,850.0,838.19
2,143,849.0,837.65
2,144,848.0,837.992
2,145,849.0,837.87
2,146,849.0,837.996
2,147,849.0,838.026
2,148,847.0,837.694
2,149,850.0,837.326
2,150,848.0,837.368
2,151,849.0,837.378
2,152,849.0,837.562
2,153,849.0,837.428
2,154,849.0,837.624
2,155,850.0,837.844
2,156,850.0,837.884
2,157,850.0,837.864
2,158,850.0,838.342
2,159,850.0,838.424
2,160,849.0,838.506
2,161,849.0,838.768
2,162,851.0,838.74
2,163,850.0,838.658
2,164,850.0,838.648
2,165,850.0,838.534
2,166,850.0,839.166
